image,category,model,dice,iou,hd95,cldice,precision,recall,specificity,accuracy
115_G,Glaucoma,proposed,0.8476,0.7355,11.40,0.8370,0.8855,0.8127,0.9915,0.9780
115_G,Glaucoma,pruned,0.9124,0.8389,2.24,0.9080,0.9216,0.9034,0.9938,0.9870
116_G,Glaucoma,benchmark,0.4890,0.3237,70.55,0.4640,0.9587,0.3282,0.9991,0.9595
116_G,Glaucoma,proposed,0.6741,0.5084,73.23,0.6006,0.9176,0.5327,0.9970,0.9696
116_G,Glaucoma,pruned,0.8669,0.7651,16.97,0.8297,0.9099,0.8279,0.9949,0.9850
117_G,Glaucoma,benchmark,0.6360,0.4662,38.18,0.6320,0.9824,0.4702,0.9994,0.9633
117_G,Glaucoma,proposed,0.8128,0.6846,23.30,0.7880,0.9167,0.7300,0.9951,0.9771
117_G,Glaucoma,pruned,0.9238,0.8584,1.00,0.9418,0.9410,0.9072,0.9958,0.9898
118_G,Glaucoma,benchmark,0.8561,0.7484,10.05,0.8310,0.9541,0.7764,0.9963,0.9762
118_G,Glaucoma,proposed,0.8898,0.8015,3.61,0.8953,0.8663,0.9146,0.9858,0.9793
118_G,Glaucoma,pruned,0.9361,0.8799,1.00,0.9308,0.9281,0.9443,0.9927,0.9882
119_G,Glaucoma,benchmark,0.1838,0.1012,216.49,0.1947,0.9696,0.1015,0.9999,0.9816
119_G,Glaucoma,proposed,0.2724,0.1577,149.22,0.2590,0.7651,0.1657,0.9989,0.9819
119_G,Glaucoma,pruned,0.6329,0.4629,54.57,0.6089,0.8569,0.5017,0.9983,0.9881
11_A,AMD,benchmark,0.4136,0.2607,39.98,0.4797,0.9989,0.2608,1.0000,0.9413
11_A,AMD,proposed,0.6812,0.5166,29.00,0.6894,0.9340,0.5361,0.9967,0.9602
11_A,AMD,pruned,0.9042,0.8252,2.24,0.9174,0.9365,0.8741,0.9949,0.9853
120_G,Glaucoma,benchmark,0.7686,0.6241,26.41,0.7632,0.9651,0.6385,0.9980,0.9700
120_G,Glaucoma,proposed,0.8737,0.7758,7.81,0.8735,0.9006,0.8484,0.9921,0.9808
120_G,Glaucoma,pruned,0.9370,0.8815,1.00,0.9583,0.9319,0.9422,0.9942,0.9901
121_G,Glaucoma,benchmark,0.0980,0.0515,216.58,0.1693,0.9930,0.0516,1.0000,0.9702
121_G,Glaucoma,proposed,0.3330,0.1998,87.21,0.3603,0.9804,0.2006,0.9999,0.9747
121_G,Glaucoma,pruned,0.7427,0.5907,18.03,0.7842,0.9513,0.6091,0.9990,0.9867
122_G,Glaucoma,benchmark,0.0000,0.0000,200.25,0.0000,0.0000,0.0000,0.9996,0.9922
122_G,Glaucoma,proposed,0.0000,0.0000,,0.0000,,0.0000,1.0000,0.9926
122_G,Glaucoma,pruned,0.0325,0.0165,168.14,0.0564,0.8000,0.0166,1.0000,0.9927
123_G,Glaucoma,benchmark,0.0000,0.0000,249.02,0.0000,0.0000,0.0000,0.9986,0.9816
123_G,Glaucoma,proposed,0.0000,0.0000,,0.0000,,0.0000,1.0000,0.9830
123_G,Glaucoma,pruned,0.1120,0.0593,121.66,0.1177,0.8585,0.0599,0.9998,0.9839
124_G,Glaucoma,benchmark,0.5239,0.3549,57.98,0.5752,0.9876,0.3565,0.9997,0.9604
124_G,Glaucoma,proposed,0.7885,0.6509,32.39,0.7841,0.9512,0.6733,0.9978,0.9779
124_G,Glaucoma,pruned,0.9194,0.8509,3.08,0.9273,0.9384,0.9012,0.9961,0.9903
125_G,Glaucoma,benchmark,0.7534,0.6044,36.24,0.7429,0.9856,0.6098,0.9992,0.9670
125_G,Glaucoma,proposed,0.8694,0.7690,18.25,0.8568,0.9238,0.8211,0.9939,0.9796
125_G,Glaucoma,pruned,0.9396,0.8862,1.00,0.9400,0.9454,0.9340,0.9951,0.9901
126_G,Glaucoma,benchmark,0.6504,0.4819,28.83,0.6817,0.9754,0.4878,0.9993,0.9700
126_G,Glaucoma,proposed,0.8074,0.6770,15.76,0.8159,0.8812,0.7450,0.9939,0.9797
126_G,Glaucoma,pruned,0.9080,0.8315,2.00,0.9274,0.9265,0.8902,0.9957,0.9897
127_G,Glaucoma,benchmark,0.5667,0.3954,51.62,0.5545,0.9828,0.3982,0.9996,0.9687
127_G,Glaucoma,proposed,0.7328,0.5783,32.00,0.7225,0.8181,0.6636,0.9920,0.9751
127_G,Glaucoma,pruned,0.8679,0.7666,5.00,0.8854,0.9063,0.8326,0.9953,0.9870
128_G,Glaucoma,benchmark,0.5961,0.4246,44.00,0.6237,0.9919,0.4261,0.9997,0.9597
128_G,Glaucoma,proposed,0.7799,0.6393,30.27,0.7623,0.9523,0.6604,0.9975,0.9740
128_G,Glaucoma,pruned,0.8978,0.8145,2.24,0.9208,0.9541,0.8477,0.9969,0.9865
129_G,Glaucoma,benchmark,0.6657,0.4989,45.18,0.6254,0.9683,0.5072,0.9991,0.9734
129_G,Glaucoma,proposed,0.7701,0.6262,23.41,0.7629,0.8224,0.7241,0.9914,0.9774
129_G,Glaucoma,pruned,0.8514,0.7412,7.21,0.8796,0.8861,0.8193,0.9942,0.9851
12_A,AMD,benchmark,0.7060,0.5456,27.07,0.7360,0.9841,0.5505,0.9992,0.9629
12_A,AMD,proposed,0.8218,0.6976,15.41,0.8297,0.8878,0.7650,0.9915,0.9731
12_A,AMD,pruned,0.9258,0.8619,1.00,0.9512,0.9053,0.9473,0.9913,0.9877
130_G,Glaucoma,benchmark,0.7429,0.5910,24.76,0.7368,0.9628,0.6048,0.9980,0.9665
130_G,Glaucoma,proposed,0.8601,0.7546,10.20,0.8679,0.8940,0.8287,0.9914,0.9784
130_G,Glaucoma,pruned,0.9177,0.8479,1.00,0.9322,0.9379,0.8983,0.9948,0.9871
131_G,Glaucoma,benchmark,0.8400,0.7241,14.76,0.8402,0.9523,0.7513,0.9966,0.9763
131_G,Glaucoma,proposed,0.8796,0.7850,4.12,0.9070,0.8588,0.9014,0.9866,0.9796
131_G,Glaucoma,pruned,0.9408,0.8883,1.00,0.9587,0.9257,0.9565,0.9931,0.9901
132_G,Glaucoma,benchmark,0.6334,0.4635,34.66,0.6210,0.9816,0.4675,0.9994,0.9668
132_G,Glaucoma,proposed,0.7925,0.6563,21.19,0.7710,0.9067,0.7038,0.9953,0.9774
132_G,Glaucoma,pruned,0.9075,0.8307,1.41,0.9166,0.9011,0.9139,0.9934,0.9886
133_G,Glaucoma,benchmark,0.2613,0.1503,170.31,0.2411,0.6487,0.1636,0.9975,0.9749
133_G,Glaucoma,proposed,0.4362,0.2790,194.40,0.3854,0.9057,0.2873,0.9992,0.9798
133_G,Glaucoma,pruned,0.7502,0.6002,109.24,0.7070,0.8415,0.6767,0.9964,0.9878
134_G,Glaucoma,benchmark,0.7182,0.5602,26.25,0.7185,0.9892,0.5637,0.9995,0.9644
134_G,Glaucoma,proposed,0.8386,0.7220,13.60,0.8239,0.9150,0.7739,0.9937,0.9760
134_G,Glaucoma,pruned,0.9264,0.8629,1.00,0.9294,0.9416,0.9117,0.9951,0.9883
135_G,Glaucoma,benchmark,0.2545,0.1458,135.66,0.2966,0.9954,0.1459,1.0000,0.9614
135_G,Glaucoma,proposed,0.5457,0.3752,105.56,0.4989,0.9523,0.3824,0.9991,0.9712
135_G,Glaucoma,pruned,0.8166,0.6900,27.73,0.8132,0.9099,0.7406,0.9965,0.9850
136_G,Glaucoma,benchmark,0.0840,0.0438,308.29,0.0768,0.9024,0.0440,0.9999,0.9784
136_G,Glaucoma,proposed,0.0148,0.0075,200.13,0.0234,0.2446,0.0077,0.9995,0.9772
136_G,Glaucoma,pruned,0.5421,0.3718,65.89,0.5525,0.8974,0.3883,0.9990,0.9853
137_G,Glaucoma,benchmark,0.0446,0.0228,163.41,0.0512,0.5798,0.0232,0.9996,0.9756
137_G,Glaucoma,proposed,0.1898,0.1049,173.16,0.1683,0.8139,0.1074,0.9994,0.9775
137_G,Glaucoma,pruned,0.6847,0.5205,77.08,0.6209,0.8680,0.5653,0.9978,0.9872
138_G,Glaucoma,benchmark,0.0493,0.0253,308.63,0.0506,0.9329,0.0253,1.0000,0.9796
138_G,Glaucoma,proposed,0.1061,0.0560,331.91,0.0891,0.9196,0.0563,0.9999,0.9801
138_G,Glaucoma,pruned,0.7015,0.5402,178.74,0.6605,0.9637,0.5515,0.9996,0.9902
139_G,Glaucoma,benchmark,0.8516,0.7415,10.63,0.8414,0.9655,0.7617,0.9972,0.9749
139_G,Glaucoma,proposed,0.8972,0.8135,2.00,0.9135,0.8762,0.9192,0.9864,0.9801
139_G,Glaucoma,pruned,0.9398,0.8864,1.00,0.9486,0.9181,0.9625,0.9910,0.9883
13_A,AMD,benchmark,0.7369,0.5834,22.56,0.7620,0.9845,0.5888,0.9991,0.9645
13_A,AMD,proposed,0.8421,0.7273,13.00,0.8385,0.9210,0.7757,0.9939,0.9754
13_A,AMD,pruned,0.9415,0.8894,1.00,0.9593,0.9318,0.9514,0.9936,0.9900
140_G,Glaucoma,benchmark,0.6752,0.5096,37.63,0.6622,0.9585,0.5211,0.9989,0.9760
140_G,Glaucoma,proposed,0.7540,0.6052,21.54,0.7621,0.7865,0.7242,0.9901,0.9774
140_G,Glaucoma,pruned,0.8839,0.7919,3.16,0.8970,0.8673,0.9011,0.9931,0.9887
141_G,Glaucoma,benchmark,0.7416,0.5893,21.02,0.7180,0.9709,0.5999,0.9985,0.9681
141_G,Glaucoma,proposed,0.8517,0.7417,9.85,0.8337,0.9099,0.8005,0.9934,0.9787
141_G,Glaucoma,pruned,0.9304,0.8698,1.00,0.9415,0.9282,0.9325,0.9940,0.9893
142_G,Glaucoma,benchmark,0.8293,0.7084,11.18,0.8214,0.9508,0.7354,0.9961,0.9721
142_G,Glaucoma,proposed,0.8815,0.7881,3.16,0.9035,0.8541,0.9108,0.9842,0.9774
142_G,Glaucoma,pruned,0.9370,0.8815,1.00,0.9439,0.9231,0.9513,0.9919,0.9882
143_G,Glaucoma,benchmark,0.8158,0.6889,13.00,0.8341,0.9571,0.7108,0.9967,0.9697
143_G,Glaucoma,proposed,0.8721,0.7731,5.00,0.8969,0.8587,0.8859,0.9848,0.9755
143_G,Glaucoma,pruned,0.9140,0.8416,1.00,0.9388,0.9067,0.9214,0.9901,0.9836
144_G,Glaucoma,benchmark,0.4688,0.3062,82.38,0.4785,0.8649,0.3216,0.9981,0.9732
144_G,Glaucoma,proposed,0.6471,0.4783,32.99,0.6648,0.7871,0.5494,0.9943,0.9780
144_G,Glaucoma,pruned,0.8441,0.7302,5.83,0.8564,0.8588,0.8299,0.9948,0.9887
145_G,Glaucoma,benchmark,0.2527,0.1446,197.77,0.2557,0.8828,0.1474,0.9994,0.9731
145_G,Glaucoma,proposed,0.4074,0.2558,208.79,0.3730,0.7620,0.2780,0.9972,0.9751
145_G,Glaucoma,pruned,0.7599,0.6127,43.93,0.7391,0.7947,0.7279,0.9940,0.9858
146_G,Glaucoma,benchmark,0.8088,0.6789,13.01,0.8041,0.9396,0.7099,0.9954,0.9695
146_G,Glaucoma,proposed,0.8617,0.7569,6.08,0.8773,0.8509,0.8727,0.9847,0.9745
146_G,Glaucoma,pruned,0.9041,0.8250,1.41,0.9200,0.9035,0.9047,0.9903,0.9825
147_G,Glaucoma,benchmark,0.6309,0.4608,44.91,0.6390,0.9836,0.4644,0.9994,0.9619
147_G,Glaucoma,proposed,0.7790,0.6380,20.46,0.7861,0.9267,0.6719,0.9960,0.9733
147_G,Glaucoma,pruned,0.9140,0.8417,1.00,0.9417,0.9502,0.8805,0.9965,0.9884
148_G,Glaucoma,benchmark,0.3572,0.2175,99.12,0.2880,0.7929,0.2306,0.9980,0.9731
148_G,Glaucoma,proposed,0.5628,0.3916,53.85,0.4821,0.9410,0.4015,0.9992,0.9798
148_G,Glaucoma,pruned,0.8732,0.7749,3.00,0.8919,0.8787,0.8677,0.9960,0.9918
149_G,Glaucoma,benchmark,0.1213,0.0645,183.45,0.1438,1.0000,0.0645,1.0000,0.9709
149_G,Glaucoma,proposed,0.4455,0.2865,92.18,0.4415,0.9644,0.2896,0.9997,0.9776
149_G,Glaucoma,pruned,0.8221,0.6979,21.95,0.8102,0.9534,0.7225,0.9989,0.9903
14_A,AMD,benchmark,0.7743,0.6317,16.97,0.8045,0.9864,0.6373,0.9992,0.9699
14_A,AMD,proposed,0.8699,0.7697,5.39,0.8886,0.8946,0.8465,0.9912,0.9795
14_A,AMD,pruned,0.9420,0.8903,1.00,0.9587,0.9376,0.9464,0.9944,0.9905
150_G,Glaucoma,benchmark,0.7659,0.6206,21.40,0.7399,0.9736,0.6313,0.9985,0.9699
150_G,Glaucoma,proposed,0.8635,0.7599,9.49,0.8511,0.9037,0.8268,0.9925,0.9796
150_G,Glaucoma,pruned,0.9375,0.8824,1.00,0.9502,0.9313,0.9439,0.9941,0.9902
151_N,Normal,benchmark,0.6588,0.4912,29.40,0.6403,0.9569,0.5023,0.9978,0.9530
151_N,Normal,proposed,0.8113,0.6824,12.52,0.8034,0.8548,0.7719,0.9870,0.9675
151_N,Normal,pruned,0.8910,0.8034,2.24,0.9046,0.9008,0.8815,0.9903,0.9805
152_N,Normal,benchmark,0.7222,0.5652,17.46,0.7505,0.9111,0.5982,0.9950,0.9636
152_N,Normal,proposed,0.7846,0.6455,12.53,0.8246,0.7771,0.7921,0.9805,0.9655
152_N,Normal,pruned,0.8702,0.7703,2.00,0.9124,0.8235,0.9227,0.9830,0.9782
153_N,Normal,benchmark,0.2592,0.1489,132.41,0.2570,0.9890,0.1491,0.9999,0.9411
153_N,Normal,proposed,0.4965,0.3302,54.86,0.4572,0.9063,0.3419,0.9974,0.9520
153_N,Normal,pruned,0.6966,0.5345,20.88,0.7045,0.8686,0.5815,0.9935,0.9650
154_N,Normal,benchmark,0.3296,0.1973,148.35,0.2907,0.9974,0.1974,1.0000,0.9527
154_N,Normal,proposed,0.5649,0.3936,46.62,0.4931,0.8032,0.4356,0.9933,0.9605
154_N,Normal,pruned,0.7140,0.5552,37.36,0.6766,0.8643,0.6083,0.9940,0.9713
155_N,Normal,benchmark,0.4602,0.2989,80.91,0.3990,0.9756,0.3011,0.9996,0.9613
155_N,Normal,proposed,0.6044,0.4331,104.90,0.5410,0.8599,0.4660,0.9956,0.9666
155_N,Normal,pruned,0.8559,0.7481,5.83,0.8732,0.8750,0.8377,0.9931,0.9846
156_N,Normal,benchmark,0.6318,0.4618,43.40,0.6248,0.9670,0.4692,0.9990,0.9679
156_N,Normal,proposed,0.7895,0.6522,31.25,0.7468,0.9030,0.7014,0.9953,0.9781
156_N,Normal,pruned,0.8896,0.8011,6.32,0.8841,0.9049,0.8748,0.9943,0.9873
157_N,Normal,benchmark,0.6659,0.4992,23.41,0.6542,0.9061,0.5264,0.9951,0.9561
157_N,Normal,proposed,0.7781,0.6367,12.53,0.7787,0.8232,0.7376,0.9856,0.9650
157_N,Normal,pruned,0.8621,0.7576,3.61,0.8847,0.8635,0.8607,0.9877,0.9771
158_N,Normal,benchmark,0.6302,0.4601,22.80,0.6496,0.9434,0.4731,0.9976,0.9564
158_N,Normal,proposed,0.7953,0.6602,15.81,0.7915,0.8563,0.7425,0.9894,0.9700
158_N,Normal,pruned,0.8747,0.7773,2.24,0.9115,0.8613,0.8886,0.9878,0.9800
159_N,Normal,benchmark,0.7780,0.6366,19.80,0.7641,0.9501,0.6587,0.9968,0.9683
159_N,Normal,proposed,0.8526,0.7431,11.31,0.8622,0.8545,0.8508,0.9866,0.9752
159_N,Normal,pruned,0.9267,0.8634,1.00,0.9448,0.9026,0.9520,0.9905,0.9873
15_A,AMD,benchmark,0.7873,0.6492,22.47,0.8000,0.9830,0.6565,0.9990,0.9725
15_A,AMD,proposed,0.8822,0.7892,5.94,0.8972,0.8924,0.8722,0.9912,0.9819
15_A,AMD,pruned,0.9367,0.8810,1.00,0.9551,0.9278,0.9458,0.9938,0.9901
160_N,Normal,benchmark,0.7802,0.6396,18.44,0.7801,0.9714,0.6519,0.9982,0.9684
160_N,Normal,proposed,0.8725,0.7738,8.46,0.8852,0.8756,0.8694,0.9884,0.9782
160_N,Normal,pruned,0.9341,0.8764,1.00,0.9536,0.9093,0.9603,0.9910,0.9884
161_N,Normal,benchmark,0.7178,0.5598,25.08,0.7359,0.9743,0.5682,0.9987,0.9635
161_N,Normal,proposed,0.8544,0.7457,13.90,0.8403,0.9224,0.7957,0.9940,0.9778
161_N,Normal,pruned,0.9252,0.8607,1.00,0.9388,0.9325,0.9180,0.9941,0.9879
162_N,Normal,benchmark,0.6924,0.5296,23.18,0.6895,0.9579,0.5422,0.9980,0.9620
162_N,Normal,proposed,0.8262,0.7038,13.04,0.8172,0.8662,0.7896,0.9895,0.9738
162_N,Normal,pruned,0.9117,0.8378,1.00,0.9319,0.9066,0.9170,0.9919,0.9860
163_N,Normal,benchmark,0.6805,0.5157,51.01,0.6654,0.9591,0.5273,0.9983,0.9645
163_N,Normal,proposed,0.7675,0.6227,39.35,0.7283,0.9034,0.6671,0.9945,0.9710
163_N,Normal,pruned,0.8985,0.8157,3.16,0.9060,0.9187,0.8791,0.9940,0.9858
164_N,Normal,benchmark,0.5781,0.4066,40.52,0.5563,0.9552,0.4145,0.9985,0.9560
164_N,Normal,proposed,0.7578,0.6101,29.02,0.7373,0.9015,0.6537,0.9944,0.9696
164_N,Normal,pruned,0.8847,0.7932,3.61,0.8986,0.9063,0.8640,0.9930,0.9836
165_N,Normal,benchmark,0.7022,0.5410,23.71,0.6721,0.9071,0.5728,0.9940,0.9546
165_N,Normal,proposed,0.7976,0.6633,11.18,0.8102,0.7907,0.8046,0.9781,0.9618
165_N,Normal,pruned,0.8662,0.7640,3.61,0.8836,0.8548,0.8779,0.9846,0.9747
166_N,Normal,benchmark,0.6885,0.5250,39.12,0.6497,0.9184,0.5507,0.9951,0.9545
166_N,Normal,proposed,0.7790,0.6380,13.60,0.7834,0.7805,0.7774,0.9780,0.9597
166_N,Normal,pruned,0.8501,0.7393,6.40,0.8603,0.8644,0.8363,0.9868,0.9731
167_N,Normal,benchmark,0.5412,0.3710,44.38,0.5350,0.9367,0.3806,0.9977,0.9472
167_N,Normal,proposed,0.7048,0.5442,26.53,0.6907,0.8342,0.6101,0.9892,0.9582
167_N,Normal,pruned,0.8237,0.7003,11.03,0.8270,0.9159,0.7484,0.9939,0.9738
168_N,Normal,benchmark,0.5043,0.3371,39.12,0.5124,0.9323,0.3456,0.9979,0.9485
168_N,Normal,proposed,0.7008,0.5394,21.54,0.6851,0.8330,0.6048,0.9900,0.9608
168_N,Normal,pruned,0.8116,0.6830,10.00,0.8172,0.8835,0.7506,0.9919,0.9736
169_N,Normal,benchmark,0.6704,0.5042,31.62,0.6837,0.9683,0.5126,0.9984,0.9557
169_N,Normal,proposed,0.8107,0.6817,22.83,0.8070,0.9203,0.7245,0.9940,0.9703
169_N,Normal,pruned,0.9292,0.8678,1.00,0.9412,0.9308,0.9276,0.9934,0.9876
16_A,AMD,benchmark,0.6527,0.4845,30.54,0.6773,0.9938,0.4860,0.9997,0.9578
16_A,AMD,proposed,0.7714,0.6279,20.62,0.7575,0.9234,0.6624,0.9951,0.9679
16_A,AMD,pruned,0.9071,0.8300,3.61,0.9108,0.9365,0.8796,0.9947,0.9853
170_N,Normal,benchmark,0.6339,0.4641,33.54,0.6313,0.9481,0.4762,0.9974,0.9509
170_N,Normal,proposed,0.7804,0.6398,24.76,0.7594,0.9221,0.6764,0.9944,0.9660
170_N,Normal,pruned,0.9155,0.8441,1.41,0.9300,0.9320,0.8995,0.9936,0.9852
171_N,Normal,benchmark,0.8386,0.7221,8.94,0.8473,0.9426,0.7553,0.9953,0.9730
171_N,Normal,proposed,0.8875,0.7977,2.83,0.9145,0.8538,0.9239,0.9838,0.9782
171_N,Normal,pruned,0.9402,0.8871,1.00,0.9608,0.9203,0.9609,0.9915,0.9886
172_N,Normal,benchmark,0.8314,0.7114,12.04,0.8401,0.9573,0.7347,0.9967,0.9728
172_N,Normal,proposed,0.8879,0.7984,2.83,0.9180,0.8553,0.9231,0.9843,0.9787
172_N,Normal,pruned,0.9373,0.8821,1.00,0.9526,0.9253,0.9497,0.9923,0.9884
173_N,Normal,benchmark,0.7357,0.5820,23.19,0.7268,0.9353,0.6064,0.9960,0.9617
173_N,Normal,proposed,0.8246,0.7016,7.81,0.8445,0.8026,0.8479,0.9799,0.9683
173_N,Normal,pruned,0.8887,0.7997,4.00,0.8970,0.8986,0.8791,0.9904,0.9806
174_N,Normal,benchmark,0.6879,0.5243,24.17,0.7014,0.9416,0.5419,0.9966,0.9545
174_N,Normal,proposed,0.8262,0.7038,10.00,0.8295,0.8418,0.8110,0.9845,0.9684
174_N,Normal,pruned,0.8893,0.8007,3.61,0.9003,0.9205,0.8602,0.9924,0.9802
175_N,Normal,benchmark,0.6696,0.5033,31.89,0.6312,0.9267,0.5242,0.9957,0.9516
175_N,Normal,proposed,0.7983,0.6643,13.15,0.7917,0.7904,0.8063,0.9779,0.9619
175_N,Normal,pruned,0.8532,0.7439,7.07,0.8511,0.8780,0.8297,0.9881,0.9733
176_N,Normal,benchmark,0.6859,0.5219,22.47,0.6858,0.9407,0.5396,0.9965,0.9536
176_N,Normal,proposed,0.8062,0.6754,10.00,0.8207,0.7982,0.8145,0.9787,0.9632
176_N,Normal,pruned,0.8785,0.7833,3.00,0.8970,0.8859,0.8712,0.9884,0.9774
177_N,Normal,benchmark,0.7028,0.5418,23.35,0.6793,0.8750,0.5872,0.9915,0.9541
177_N,Normal,proposed,0.8022,0.6698,14.32,0.7991,0.7828,0.8227,0.9767,0.9625
177_N,Normal,pruned,0.8690,0.7684,8.49,0.8524,0.8766,0.8616,0.9876,0.9760
178_N,Normal,benchmark,0.6794,0.5145,29.00,0.6511,0.9126,0.5411,0.9947,0.9528
178_N,Normal,proposed,0.7970,0.6625,13.00,0.8009,0.7892,0.8050,0.9781,0.9621
178_N,Normal,pruned,0.8462,0.7333,8.94,0.8299,0.8664,0.8268,0.9870,0.9722
179_N,Normal,benchmark,0.8136,0.6858,10.00,0.8267,0.9561,0.7080,0.9969,0.9715
179_N,Normal,proposed,0.8883,0.7991,3.61,0.9074,0.8664,0.9114,0.9864,0.9798
179_N,Normal,pruned,0.9395,0.8859,1.00,0.9534,0.9316,0.9476,0.9933,0.9893
17_A,AMD,benchmark,0.6714,0.5053,29.41,0.6920,0.9925,0.5072,0.9996,0.9575
