split,image,mask
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2623.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2623.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2567.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2567.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/80.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/80.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/124.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/124.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/889.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/889.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2340.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2340.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2997.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2997.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/186.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/186.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2737.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2737.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1685.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1685.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2368.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2368.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/589.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/589.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1246.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1246.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2443.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2443.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1748.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1748.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/710.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/710.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2048.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2048.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1305.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1305.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2961.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2961.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2993.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2993.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/996.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/996.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2736.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2736.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/625.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/625.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/44.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/44.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/689.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/689.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1416.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1416.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/480.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/480.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/420.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/420.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1079.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1079.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/139.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/139.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2339.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2339.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/716.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/716.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2090.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2090.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1971.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1971.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2626.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2626.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/626.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/626.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2244.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2244.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2181.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2181.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1746.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1746.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1969.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1969.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1427.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1427.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/715.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/715.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1021.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1021.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/696.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/696.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/768.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/768.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1563.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1563.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/488.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/488.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1361.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1361.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1795.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1795.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/666.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/666.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/22.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/22.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2466.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2466.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1873.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1873.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1056.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1056.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2168.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2168.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/367.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/367.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/790.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/790.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1734.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1734.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2621.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2621.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2422.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2422.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/296.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/296.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2253.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2253.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/454.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/454.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1495.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1495.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2917.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2917.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2348.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2348.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1227.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1227.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/609.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/609.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1292.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1292.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/101.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/101.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1459.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1459.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2242.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2242.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1062.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1062.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1354.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1354.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2774.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2774.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1896.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1896.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/37.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/37.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1851.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1851.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/930.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/930.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/363.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/363.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/60.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/60.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/343.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/343.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/87.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/87.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/245.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/245.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2204.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2204.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1355.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1355.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2611.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2611.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/239.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/239.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1023.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1023.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/945.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/945.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1274.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1274.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1510.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1510.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/278.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/278.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2378.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2378.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2138.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2138.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1141.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1141.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2195.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2195.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2520.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2520.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1352.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1352.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/957.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/957.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1718.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1718.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2962.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2962.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2860.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2860.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2251.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2251.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/959.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/959.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1723.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1723.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/971.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/971.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2978.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2978.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1386.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1386.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1973.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1973.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2107.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2107.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2970.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2970.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/1388.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/1388.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/2261.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/2261.png
train,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/images/262.png,/sessions/rcw-01rhzohs6sarhhp2xkz1oted/mnt/MVI_Brain_Tumor/masks/262.png
